item_id,current_label,risk_level,evidence_sufficiency,annotation_confidence,priority_reason,signal_tags,review_question,next_action
threads_pilot_v1_0012,uncertain,low,partial,low,uncertain_label,private_channel_redirect,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0017,insufficient_evidence,low,not_reviewable,high,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0020,uncertain,medium,partial,medium,uncertain_label|medium_risk,guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0021,uncertain,medium,partial,medium,uncertain_label|medium_risk,guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0025,uncertain,medium,partial,medium,uncertain_label|medium_risk,contact_handle_visible|payment_deposit_or_fee_request|private_channel_redirect|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0027,uncertain,medium,partial,medium,uncertain_label|medium_risk,contact_handle_visible|private_channel_redirect|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0047,uncertain,medium,partial,low,uncertain_label|medium_risk,private_channel_redirect|contact_handle_visible,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0048,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0049,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0050,uncertain,low,partial,low,uncertain_label,vague_offer_strong_benefit,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
