timestamp_utc,previous_version,new_version,bump_type,categories,summary,details,affected_paths,decision_refs,verification,sources,sensitive_data_check
2026-05-21T07:25:45Z,,v1.2.6,initial,governance;data-access;model-candidate;tooling,Initialize repo-level versioning after Breeze Guard 26 and Meta Content Library/API route records.,Established semver-style repo versioning; recorded Breeze Guard 26 as a deferred classifier candidate; recorded Meta Content Library/API as the preferred official route; added an automated version-log script.,VERSION;CHANGELOG.md;versioning/README.md;versioning/version_log.csv;scripts/record_version_update.py;scripts/README.md;docs/52-automated-versioning-and-change-log.md;docs/05-data-strategy.md;docs/18-recommended-path-v1.md;docs/19-codex-workflow.md;docs/50-breeze-guard-26-candidate-baseline.md;docs/51-meta-content-library-api-access.md;README.md;AGENTS.md;decision-log/README.md;decision-log/0157-record-breeze-guard-26-as-deferred-candidate.md;decision-log/0158-require-meta-content-library-api-route.md;decision-log/0159-add-automated-versioning-and-change-log.md,decision-log/0157-record-breeze-guard-26-as-deferred-candidate.md;decision-log/0158-require-meta-content-library-api-route.md;decision-log/0159-add-automated-versioning-and-change-log.md,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv;python3 scripts/record_version_update.py --dry-run --bump patch --summary "Dry-run versioning smoke test" --category tooling --detail "Verify the script can compute the next patch version without writing files." --path scripts/record_version_update.py --verification "dry-run only",Meta model card;Meta Content Library/API docs;user-provided Transparency Center screenshot,"No raw Threads evidence, credentials, tokens, screenshots, source URLs, account handles, browser exports, or item-level controlled artifacts added."
2026-05-21T07:33:25Z,v1.2.6,v1.2.7,patch,governance;data-access,Record Meta Research Tools Manager application flow screenshot,"Added a repo-safe transcription of the Research Tools Manager access-application workflow from the user-provided screenshot.;Updated Meta Content Library/API access notes with the four-step application path, expected review and processing windows, and privacy boundaries for access emails and account identity.;Extended the data authorization request template with Research Tools Manager, CASD review, Meta processing, and access-email status fields.",notes/2026-05-21-meta-research-tools-manager-application-flow.md;docs/51-meta-content-library-api-access.md;templates/data_authorization_request.md,decision-log/0158-require-meta-content-library-api-route.md,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv,User-provided Meta Research Tools Manager screenshot,"No raw Threads evidence, credentials, tokens, screenshots, source URLs, account handles, browser exports, or item-level controlled artifacts added."
2026-05-21T07:36:11Z,v1.2.7,v1.2.8,patch,governance;data-access;research-design,Record Meta Content Library research-scale platform notes,"Added a repo-safe conceptual note explaining Meta Content Library / API as official research-scale social data infrastructure rather than a normal app API.;Updated the Meta Content Library/API access record with scam-research fit, keyword diffusion, producer-list, trend-analysis, and human-review routing implications.;Preserved key boundaries: Threads coverage is public-profile and follower-threshold limited; UI/API/export availability must be checked per approved environment; missing official coverage is not permission to scrape.",notes/2026-05-21-meta-content-library-research-scale-platform.md;docs/51-meta-content-library-api-access.md,decision-log/0158-require-meta-content-library-api-route.md,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv,User-provided Meta Content Library / API research-scale platform notes;Meta Content Library / API official documentation links already recorded in docs/51-meta-content-library-api-access.md,"No raw Threads evidence, credentials, tokens, screenshots, source URLs, account handles, browser exports, or item-level controlled artifacts added."
2026-05-21T07:38:47Z,v1.2.8,v1.2.9,patch,governance;data-access;application-prep,Record Research Tools Manager application framing notes,"Expanded the Research Tools Manager screenshot note with application framing, CASD review interpretation, project advantages, public-interest language, governance boundaries, ethics questions, and minimal viable research architecture.;Added a Meta Research Tools application prep template for research purpose, official-access necessity, data governance, human-review routing, and IRB/privacy planning.;Updated the Meta Content Library/API access record and data authorization request template so future applications avoid app-builder, policing, scraping, or autonomous-enforcement framing.",notes/2026-05-21-meta-research-tools-manager-application-flow.md;templates/meta_research_tools_application_prep.md;docs/51-meta-content-library-api-access.md;templates/data_authorization_request.md,decision-log/0158-require-meta-content-library-api-route.md,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv,User-provided Meta Research Tools Manager screenshot and application-framing notes,"No raw Threads evidence, credentials, tokens, screenshots, source URLs, account handles, browser exports, or item-level controlled artifacts added."
2026-05-21T07:45:19Z,v1.2.9,v1.3.0,minor,governance;data-access;research-design;application-prep,Add first-principle Meta Research Tools application strategy,"Added a first-principle Research Tools Manager application strategy that frames trust, governance, data minimization, and reviewer support as the scarce-resource problem.;Recorded Decision 0160 so the application is not framed as app-building, scraping, platform policing, or autonomous scam detection.;Updated README, recommended path, and Meta Content Library/API access notes to route future application prep through the new strategy document.",docs/53-first-principle-meta-research-tools-application-strategy.md;decision-log/0160-record-first-principle-meta-research-tools-application-strategy.md;decision-log/README.md;README.md;docs/18-recommended-path-v1.md;docs/51-meta-content-library-api-access.md,decision-log/0160-record-first-principle-meta-research-tools-application-strategy.md,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv,User request to apply FIRST PRINCIPLE to Meta Research Tools Manager application planning,"No raw Threads evidence, credentials, tokens, screenshots, source URLs, account handles, browser exports, or item-level controlled artifacts added."
2026-05-21T09:28:57Z,v1.3.0,v1.3.1,patch,application-prep;governance,Record Research Tools personal information page guidance,"Added a repo-safe transcription of the Research Tools Manager personal-information page and field-level filling guidance for legal name, location, institutional email, discipline, ORCID, and CV upload.;Updated the application prep template so final personal values stay outside git while form strategy is reusable.",notes/2026-05-21-meta-research-tools-manager-personal-information-page.md;templates/meta_research_tools_application_prep.md;docs/53-first-principle-meta-research-tools-application-strategy.md,,git diff --check,User-provided Research Tools Manager personal-information screenshot,"No legal name, organizational email, ORCID, CV file, application ID, access email, screenshot file, raw Threads evidence, handles, URLs, credentials, or item-level controlled artifacts added."
2026-05-21T09:41:17Z,v1.3.1,v1.3.2,patch,application-prep;privacy,Record filled Research Tools personal information status,Recorded the filled-state status of the Research Tools Manager personal-information page with identity-bearing values redacted from git.;Noted that the city field is still blank and is the likely blocker for the disabled Next button.,notes/2026-05-21-meta-research-tools-manager-personal-information-page.md;templates/meta_research_tools_application_prep.md,,git diff --check,User-provided filled Research Tools Manager personal-information screenshot,"Repo-visible files redact legal name, email, ORCID, CV file name, application ID, and uploaded file details. Actual values were stored only in ignored local private storage under data/private/."
2026-05-21T09:49:27Z,v1.3.2,v1.3.3,patch,application-prep;governance;privacy,Record Research Tools organization page status,"Recorded the Organization page fields, repo-safe filled status, institutional verification guidance, and direct-affiliation redaction boundary.;Stored complete observed organization values only in ignored local private storage under data/private/.",notes/2026-05-21-meta-research-tools-manager-organization-page.md;templates/meta_research_tools_application_prep.md;docs/53-first-principle-meta-research-tools-application-strategy.md,,git diff --check,User-provided Research Tools Manager Organization screenshot,"Repo-visible files retain public institution-level values but redact department-level affiliation, role, applicant-verification URL, application ID, logged-in identity, and any private application details. Actual values were stored only in ignored local private storage under data/private/."
2026-05-21T09:58:32Z,v1.3.3,v1.3.4,patch,application-prep;governance;data-access,Record Research Tools research details page status,"Recorded the Research details page fields, full drafted application text, EU systemic-risk selection, selected research tools, secure-computing platform, and required confirmations.;Noted that the research title is at the 60-character limit and appears to end mid-word before submission.",notes/2026-05-21-meta-research-tools-manager-research-details-page.md;notes/2026-05-21-meta-research-tools-manager-application-flow.md;templates/meta_research_tools_application_prep.md;docs/51-meta-content-library-api-access.md;docs/53-first-principle-meta-research-tools-application-strategy.md,,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv;python3 -m py_compile scripts/record_version_update.py,User-provided Research Tools Manager Research details screenshots,"Repo-visible files omit application ID, logged-in account identity, screenshots, private access details, raw Threads evidence, handles, source URLs, credentials, and item-level controlled artifacts. The recorded research text contains application content but no raw evidence or private personal-information values."
2026-05-21T10:11:32Z,v1.3.4,v1.3.5,patch,application-prep;governance;data-access;secure-environment,Record Meta official product documentation requirements,"Added a structured requirements record for Meta Content Library/API and Meta Secure Research Environment official documentation, including eligibility, application flow, data scope, API/export restrictions, SRE cleanroom restrictions, support/status, citations, disclaimers, and changelog implications.;Recorded the latest Research Tools Manager bottom-section screenshot state: web tool and API selected, Meta Secure Research Environment selected, SOMAR not selected, and both confirmations checked.",docs/54-meta-official-product-documentation-requirements.md;docs/51-meta-content-library-api-access.md;docs/53-first-principle-meta-research-tools-application-strategy.md;notes/2026-05-21-meta-research-tools-manager-research-details-page.md;templates/meta_research_tools_application_prep.md,,git diff --check;python3 scripts/validate_thread_dataset.py data/samples/thread_item_sample_batch.csv;python3 -m py_compile scripts/record_version_update.py,Meta official Content Library/API documentation;Meta official Secure Research Environment documentation;User-provided Research Tools Manager bottom-section screenshot,"Repo-visible files omit application ID, logged-in account identity, screenshots, private access details, raw Threads evidence, handles, source URLs from controlled data, credentials, cleanroom exports, and item-level controlled artifacts. Official public documentation URLs and paraphrased requirements were recorded."
